"Section","Section.name","SIC2dg1","Division.name","Group","Group.name","Class","Class.name","Sub.class","Sub.class.name","Industry","Industry.name"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops",111,"Growing of cereals (except rice), leguminous crops and oil seeds",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops",112,"Growing of rice",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops",113,"Growing of vegetables and melons, roots and tubers",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops",114,"Growing of sugar cane",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops",115,"Growing of tobacco",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops",116,"Growing of fibre crops",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops",119,"Growing of other non-perennial crops",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops",121,"Growing of grapes",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops",122,"Growing of tropical and subtropical fruits",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops",123,"Growing of citrus fruits",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops",124,"Growing of pome fruits and stone fruits",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops",125,"Growing of other tree and bush fruits and nuts",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops",126,"Growing of oleaginous fruits",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops",127,"Growing of beverage crops",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops",128,"Growing of spices, aromatic, drug and pharmaceutical crops",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops",129,"Growing of other perennial crops",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",13,"Plant propagation",130,"Plant propagation",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production",141,"Raising of dairy cattle",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production",142,"Raising of other cattle and buffaloes",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production",143,"Raising of horses and other equines",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production",144,"Raising of camels and camelids",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production",145,"Raising of sheep and goats",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production",146,"Raising of swine/pigs",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production",147,"Raising of poultry",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production",149,"Raising of other animals",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",15,"Mixed farming",150,"Mixed farming",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities",161,"Support activities for crop production",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities",162,"Support activities for animal production",NA,"","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities",162,"Support activities for animal production",1621,"Farm animal boarding and care","A","Agriculture, forestry and fishing"
" A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities",162,"Support activities for animal production",1629,"Support activities for animal production (other than farm animal boarding and care) n.e.c.","A","Agriculture, forestry and fishing"
